Restaurant Name,Rating,Type,Phone_Number,Latitude,Longitude,Neighborhood
The Hogtown Vegan,4,Vegan,           (416) 534-4414       ,43.6487056,-79.4498592,"Roncesvalles, High Park"
The House On Parliament,4,British,           (416) 364-9320       ,43.6475364,-79.4038534,"Alexandra Park, Queen Street West, West Queen West"
The Hummussiah,4,Middle Eastern,           (416) 901-1559       ,43.6653384,-79.46566164,The Junction
The Living Room,3.5,Canadian (New),,43.66995146,-79.38977122,Yorkville
The Monarch Tavern,4,Pubs,           (416) 703-0888       ,43.6439259,-79.4088666,Niagara
The Original Grill,4,Greek,           (647) 341-0088       ,43.6634471,-79.3841229,Downtown Core
The Rec Room,4,Arcades,           (416) 862-2867       ,43.6489232,-79.3717226,"St. Lawrence, Downtown Core"
The Shmooz,4,Cafes,           (416) 532-8000       ,43.6490017,-79.4203433,"Ossington Strip, Little Portugal, Trinity Bellwoods"
The Simple Kitchen,4.5,Specialty Food,,43.64633022,-79.39509113,"Entertainment District, Downtown Core"
The Sovereign,4,Cafes,           (416) 792-8628       ,43.6536138,-79.398664,"Chinatown, Kensington Market, Downtown Core"
The Stockyards,5,American (Traditional),           (416) 828-4169       ,43.6515336,-79.4383577,Brockton Village
The Walton,4.5,Cocktail Bars,,,,
Thor Espresso Bar,4,Cafes,           (647) 350-3400       ,43.6589628,-79.4398479,"Bloordale Village, Wallace Emerson, Brockton Village"
Through Being Cool,4.5,Vegan,           (416) 593-9281       ,43.6543466,-79.4009509,Kensington Market
Tibet Cafe,3.5,Himalayan/Nepalese,           (647) 348-1133       ,43.65467955,-79.42187391,Bickford Park
Tostadas Grill,4.5,Venezuelan,           (416) 551-7716       ,43.64782734,-79.39704034,Corktown
Trattoria Taverniti,3.5,Italian,           (647) 748-7199       ,43.662574,-79.403622,Downtown Core
Tutti Frutti,4,Health Food Store,           (416) 792-7729       ,43.6461438,-79.4488097,"Roncesvalles, High Park"
UFO Restaurant,4.5,Diners,           (416) 532-6888       ,43.6548267,-79.4159458,"Little Italy, Bickford Park"
Udupi Palace,4.5,Indian,           (416) 781-4212       ,43.7182558,-79.42921,Corktown
Ufficio,4.5,Seafood,,,,
Umami Poke,3.5,Hawaiian,,43.64159667,-79.43222213,Parkdale
Union Social Eatery,4,American (Traditional),           (647) 342-9229       ,43.6648717,-79.4131689,"Koreatown, Seaton Village"
Utopia Café & Grill,4,Tex-Mex,           (416) 465-2253       ,43.6764344,-79.3566296,Riverdale
Vegetarian Haven,3.5,Vegetarian,           (416) 907-0650       ,43.65007697,-79.38483126,"Financial District, Downtown Core"
Veggie D’Light,4.5,Caribbean,,,,
Veghed,4,Vegan,           (416) 504-9669       ,43.64500213,-79.40030934,Ossington Strip
Virtuous Pie,4,Pizza,           (416) 894-7905       ,43.6722312,-79.4143193,Seaton Village
WVRST Union Station,4,Beer Bar,           (647) 341-8555       ,43.72876913,-79.40354537,Christie Pits
Wanda’s Pie In The Sky,4,Bakeries,           (416) 546-6271       ,43.64938217,-79.37453896,"St. Lawrence, Downtown Core"
Wazema Ethiopian Restaurant,4,Ethiopian,           (416) 465-2500       ,43.659652,-79.346481,Riverdale
What A Bagel - Spadina,4.5,Breakfast & Brunch,           (416) 761-1500       ,43.66753986,-79.46329406,The Junction
Whole Foods Market,4.5,Grocery,,,,
Wilbur Mexicana,4.5,Mexican,           (416) 925-6673       ,43.67390004,-79.41146983,The Annex
Wish,3.5,Lounges,           (416) 462-0333       ,43.6829336,-79.3263672,The Danforth
Wvrst,4,German,,43.64870587,-79.38583749,Downtown Core
YAYA Leslieville,4,Breakfast & Brunch,           (647) 340-4645       ,43.6530311,-79.4041249,Kensington Market
Yueh Tung Restaurant,4.5,Hakka,           (647) 352-8746       ,43.733545,-79.419369,Queen Street West
ZIBA Berlin Döner,4.5,Kebab,           (647) 349-8777       ,43.6791729,-79.4382679,Kensington Market
iQ,4,Coffee & Tea,           (647) 352-5773       ,43.6464107,-79.3934801,"Entertainment District, Downtown Core"
süüp health bar,4,Vegan,           (416) 488-0822       ,43.7093451,-79.3986959,"Yonge and Eglinton, Mount Pleasant and Davisville"
